,price,amount
218,32262.890000000003,184162.44210000001
219,32257.720000000005,100233.53360000001
220,32254.530000000002,303251.2266
221,32255.08,144238.85319999998
222,32255.190000000006,163973.6568
223,32259.040000000005,109886.0208
224,32259.040000000005,410100.3776
225,32258.710000000003,128565.62240000001
226,32258.600000000002,188624.83200000002
227,32252.000000000004,175920.0
228,32252.000000000004,657764.88
229,32251.230000000003,144397.5525
230,32252.66,141941.0246
231,32251.230000000003,108481.41
232,32249.36,191326.65759999998
233,32247.820000000003,869108.0652000001
234,32247.600000000002,108146.724
235,32245.730000000003,207134.8438
236,32233.41,114194.18069999998
237,32231.100000000002,105014.784
238,32235.940000000006,269902.73400000005
239,32232.640000000003,234682.92160000003
240,32226.370000000003,100604.8678
241,32225.270000000004,107280.8534
242,32222.850000000002,131557.1085
243,32221.750000000004,228129.99000000002
244,32222.850000000002,378032.6175
245,32224.390000000003,169763.9455
246,32219.000000000004,127177.18
247,32216.140000000003,395116.3134
248,32215.040000000005,368130.048
249,32213.500000000004,156499.04
250,32213.500000000004,120214.92500000002
251,32214.490000000005,156152.4188
252,32217.240000000005,229357.4604
253,32218.670000000002,158515.8564
254,32218.780000000002,113673.7138
255,32210.640000000003,294317.4024
256,32216.58,292233.66839999997
257,32211.41,100323.9006
258,32208.440000000006,133577.18480000002
259,32208.000000000004,155740.32
260,32204.15,292765.0
261,32204.15,202183.509
262,32205.690000000006,276412.65390000003
263,32202.500000000004,468400.0
264,32200.63,457541.679
265,32200.520000000004,106203.16960000001
266,32199.200000000004,116502.56
267,32192.16,124876.3152
268,32190.840000000004,120159.62640000001
269,32190.510000000002,109974.48779999999
270,32192.270000000004,146328.5
271,32194.250000000004,155820.16999999998
272,32187.320000000003,138346.9536
273,32187.100000000002,105105.512
274,32186.000000000004,177959.32
275,32191.280000000002,305319.6584
276,32186.550000000003,267528.7515
277,32185.120000000003,124936.78399999999
278,32176.100000000002,118817.562
279,32175.000000000004,154352.25
280,32172.58,150450.6832
281,32181.050000000003,190394.794
282,32173.460000000003,149957.5722
283,32171.370000000003,174222.5919
284,32171.040000000005,364995.07200000004
285,32175.11,384580.3148
286,32165.65,119977.87449999999
287,32167.63,590743.9033
288,32167.63,182448.94869999998
289,32167.63,197918.6544
290,32166.420000000002,163200.7182
291,32166.31,169370.2432
292,32165.870000000003,139307.45880000002
293,32164.11,248920.97129999998
294,32164.000000000004,317868.04000000004
295,32167.190000000006,158291.8177
296,32157.730000000003,119655.9899
297,32163.890000000003,159152.7757
298,32163.780000000002,353362.983
299,32161.91,121104.2102
300,32161.91,152447.4534
301,32154.320000000003,104004.6096
302,32153.33,333400.8018
303,32153.550000000003,117711.22350000001
304,32153.000000000004,193210.30000000002
305,32153.11,180466.6374
306,32152.450000000004,100754.0865
307,32151.460000000003,102417.0144
308,32150.91,188228.964
309,32153.770000000004,179008.8068
310,32153.770000000004,459068.1435
311,32149.920000000002,146603.6352
312,32149.920000000002,236243.45760000002
313,32147.500000000004,111756.4
314,32146.4,250946.48799999998
315,32146.290000000005,381196.5516
316,32142.000000000004,310257.96
317,32138.260000000002,143161.34
318,32137.600000000002,190634.40000000002
319,32136.500000000004,123287.29999999999
320,32134.740000000005,196226.4078
321,32134.740000000005,132424.3422
322,32134.740000000005,151062.49140000003
323,32134.63,257924.2257
324,32133.530000000002,171417.7764
325,32133.31,164610.18349999998
326,32133.31,150267.0424
327,32140.570000000003,174903.1382
328,32143.100000000002,125211.985
329,32142.000000000004,299621.88
330,32139.800000000003,149888.34
331,32154.980000000003,418774.7668
332,32144.86,254411.9556
333,32150.470000000005,356490.2569
334,32155.090000000004,371771.3042
335,32152.890000000003,174502.503
336,32150.800000000003,117993.436
337,32150.470000000005,254573.26700000002
338,32148.710000000003,319938.11669999996
339,32161.470000000005,398831.4657
340,32157.4,132430.02000000002
341,32166.200000000004,416903.194
342,32159.600000000002,125305.49599999998
343,32167.740000000005,186163.4844
344,32169.61,113207.7821
345,32165.320000000003,117374.17680000002
346,32161.800000000003,114671.436
347,32161.250000000004,104904.15000000001
348,32159.93,164424.95119999998
349,32158.720000000005,138604.0832
350,32155.530000000002,655680.489
351,32154.65,179481.41
352,32153.440000000006,144632.0192
353,32152.890000000003,228490.1283
354,32151.020000000004,147193.2152
355,32147.500000000004,102959.675
356,32145.740000000005,134602.9804
357,32146.070000000003,443265.0816
358,32146.070000000003,137614.4033
359,32157.730000000003,245041.90259999997
360,32157.730000000003,149621.14740000002
361,32161.140000000003,191680.39440000002
362,32154.980000000003,136950.98299999998
363,32144.530000000002,233895.28919999997
364,32146.18,459953.3882
365,32145.960000000003,184722.37559999997
366,32145.190000000006,212859.6036
367,32144.31,183573.2322
368,32143.65,492440.718
369,32142.33,101219.1192
370,32139.800000000003,167477.576
371,32139.800000000003,117397.924
372,32139.140000000003,119236.20940000002
373,32139.140000000003,113743.3382
374,32139.140000000003,124086.2978
375,32144.86,161074.97119999997
376,32142.33,227509.25579999998
377,32136.83,467269.5082
378,32136.390000000003,253205.53830000001
379,32136.720000000005,100558.71840000001
380,32131.33,156158.2638
381,32131.000000000004,203243.18
382,32124.18,131563.119
383,32124.18,108579.72839999999
384,32124.18,106506.25859999999
385,32124.070000000003,503384.17689999996
386,32123.520000000004,125836.58880000001
387,32123.41,527992.048
388,32120.000000000004,1115381.6
389,32120.440000000006,268380.8764
390,32119.120000000003,222322.7088
391,32114.61,104138.9217
392,32114.720000000005,144282.6784
393,32113.950000000004,177123.0315
394,32113.290000000005,187103.7051
395,32111.86,186569.9066
396,32111.31,203206.2081
397,32111.200000000004,126109.44
398,32110.980000000003,139098.927
399,32112.960000000003,265895.3088
400,32110.540000000005,138775.9156
401,32109.33,191079.7038
402,32122.090000000004,539505.1025
403,32125.83,185979.3504
404,32125.83,116821.2
405,32125.83,133585.0422
406,32121.43,138793.7789
407,32120.990000000005,159524.5167
408,32117.800000000003,163537.998
409,32117.140000000003,220703.1466
410,32118.790000000005,132183.4203
411,32122.420000000002,365173.51100000006
412,32119.780000000002,797767.7358
413,32116.590000000004,156203.415
414,32116.480000000003,525629.9904
415,32115.93,467520.3519
416,32112.63,457108.69139999995
417,32113.840000000004,437916.0
418,32113.840000000004,125857.05840000001
419,32117.140000000003,205403.709
420,32110.210000000003,115158.88949999999
421,32106.91,122590.02
422,32107.68,351579.09599999996
423,32106.800000000003,329007.136
424,32102.730000000003,109441.125
425,32104.490000000005,146133.8013
426,32104.490000000005,181010.9518
427,32104.490000000005,102588.4385
428,32104.490000000005,164141.5016
429,32103.390000000003,106670.8095
430,32098.000000000004,911233.04
431,32099.980000000003,192395.6074
