,price,amount
474,28001.375999999997,335433.14999999997
475,28001.375999999997,114338.95199999999
476,28007.712,128193.6318
477,28006.079999999998,287529.088
478,27999.456,156505.2926
479,28007.712,182867.0196
480,28002.912,113411.7936
481,28002.816,102531.144
482,28001.28,244982.03199999998
483,27996.96,218726.25
484,27991.68,668068.096
485,27989.184,113764.3708
486,27992.352,168099.9055
487,27992.352,289720.8432
488,28008.095999999998,145758.7996
489,28008.095999999998,168019.4009
490,28003.967999999997,104577.318
491,28012.127999999997,150302.57429999998
492,28010.496,249760.256
493,28008.095999999998,247317.3227
494,28011.647999999997,219745.5428
495,28011.167999999998,250670.77529999998
496,28012.8,135395.19999999998
497,28012.8,334431.98
498,28020.0,191674.3125
499,28023.456,135038.0286
500,28023.84,204953.5215
501,28020.575999999997,207089.56949999998
502,28018.368,127512.76019999999
503,28018.368,139099.5228
504,28018.368,197062.52159999998
505,28023.36,151005.043
506,28025.952,200122.81350000002
507,28019.52,145964.187
508,28024.224000000002,139508.0901
509,28023.456,185451.05829999998
510,28024.512,140326.90540000002
511,28025.76,178956.155
512,28028.64,238097.4575
513,28025.184,956125.8608000001
514,28024.032,993627.0846
515,28024.127999999997,266813.052
516,28024.32,125408.83200000001
517,28029.888,204180.21540000002
518,28029.504,149052.727
519,28030.079999999998,112762.676
520,28032.0,215379.2
521,28038.912,107132.0096
522,28034.112,390725.43600000005
523,28027.584,107001.141
524,28025.664,368012.0004
525,28025.664,324105.1268
526,28024.992,262734.3
527,28022.976,185039.2134
528,28020.575999999997,555683.0478
529,27983.904,304091.75680000003
530,27984.0,122546.59999999999
531,27984.095999999998,381195.8577
532,27984.287999999997,148462.4779
533,27984.48,110888.502
534,27985.44,208695.58849999998
535,27985.535999999996,192138.1956
536,27985.824,157099.5891
537,27974.496,154588.23049999998
538,27973.44,106823.574
539,27977.28,148512.728
540,27978.336,164168.71529999998
541,27979.104,120747.3207
542,27979.68,116465.418
543,27950.399999999998,140276.06999999998
544,27917.855999999996,147499.3392
545,27917.855999999996,145260.0945
546,27906.912,102005.5773
547,27878.399999999998,136749.36
548,27885.984,126939.323
549,27876.96,131021.71199999998
550,27870.624,144085.31970000002
551,27867.552,219398.9146
552,27867.647999999997,136870.792
553,27867.744,197309.4333
554,27870.719999999998,222123.832
555,27871.967999999997,104810.21299999999
556,27875.327999999998,232120.17919999998
557,27877.824,136601.3376
558,27879.935999999998,111142.20319999999
559,27877.824,152660.1258
560,27885.215999999997,102623.4043
561,27882.336,108799.19859999999
562,27883.007999999998,150858.6912
563,27883.104,139473.6098
564,27882.144,178097.1948
565,27882.048,228080.9614
566,27882.144,792637.0749
567,27872.447999999997,130506.931
568,27872.352,265542.22020000004
569,27863.327999999998,188512.8285
570,27845.568,143114.6172
571,27843.935999999998,111984.8301
572,27841.248,101794.563
573,27842.688,130454.5944
574,27843.264,120422.1168
575,27843.36,586189.7385
576,27844.32,122369.98550000001
577,27846.336,180711.11800000002
578,27847.007999999998,142251.79919999998
579,27845.76,129511.79
580,27847.68,152553.07200000001
581,27848.255999999998,113713.71199999998
582,27852.384000000002,138971.791
583,27845.568,181518.2964
584,27847.775999999998,184839.6132
585,27845.088,111960.458
586,27822.239999999998,160789.362
587,27792.0,106130.7
588,27760.895999999997,361990.5168
589,27761.952,171632.4845
590,27762.432,227594.10400000002
591,27762.912,129733.7742
592,27763.296,112875.1503
593,27764.447999999997,108107.8194
594,27767.52,139734.25950000001
595,27766.847999999998,122665.83579999999
596,27770.304,127598.76139999999
597,27771.552,142213.4892
598,27773.088,142481.72749999998
599,27774.528,144659.0
600,27774.912,165260.72639999999
601,27775.392,138876.96
602,27775.872,124904.62440000002
603,27776.735999999997,154999.9737
604,27746.496,468106.50960000005
605,27762.432,146041.96
606,27774.719999999998,108610.728
607,27777.311999999998,101271.45
608,27764.447999999997,118895.46429999999
609,27767.039999999997,120873.39600000001
610,27769.632,118570.5433
611,27744.095999999998,110600.68269999999
612,27676.8,149252.90999999997
613,27676.8,101308.62
614,27682.944,106175.6248
615,27689.855999999996,139660.7112
616,27695.904,122323.57600000002
617,27702.624,144544.2121
618,27700.224000000002,124362.46399999999
619,27705.408,156477.8356
620,27709.44,154537.856
621,27710.976,347166.57119999995
622,27712.224000000002,149934.6786
623,27713.76,171680.9695
624,27696.575999999997,100371.2374
625,27698.112,238838.51160000003
626,27705.6,522654.6
627,27709.344,104487.31800000001
628,27709.344,156355.7463
629,27716.544,165086.66520000002
630,27717.024,185877.2922
631,27700.224000000002,140203.5296
632,27693.6,149978.1525
633,27699.647999999997,111635.35220000001
634,27687.072,278918.40969999996
635,27687.072,144203.5
636,27675.072,115312.8
637,27676.127999999997,136362.589
638,27675.456,115314.4
639,27676.32,115318.0
640,27676.415999999997,115318.4
641,27686.879999999997,265822.8885
642,27693.504,198441.2646
643,27691.68,147429.3505
644,27694.464,148713.502
645,27690.432,125703.02359999999
646,27697.248,175502.4579
647,27698.112,492333.94080000004
648,27697.44,107529.5405
649,27699.264,161146.239
650,27700.032,167989.1524
651,27702.528,120303.99919999999
652,27701.855999999996,176310.771
653,27702.144,215730.44640000002
654,27703.584,231267.2106
655,27704.447999999997,150412.0656
656,27706.368,163958.2048
657,27706.944,116455.74900000001
658,27707.039999999997,152042.38199999998
659,27708.095999999998,110861.2466
660,27685.248,149990.59879999998
661,27684.672,118265.45820000001
662,27684.192,132451.55610000002
663,27686.879999999997,113198.9625
664,27688.8,192235.2625
665,27691.68,180486.2935
666,27694.079999999998,100737.216
667,27695.424,159912.22420000003
668,27699.84,118734.21
669,27684.768,127955.5371
670,27687.552,100338.53480000001
671,27691.487999999998,150803.2284
672,27691.68,101074.632
673,27691.68,101853.4605
674,27695.904,145951.6441
675,27696.48,449981.2485
676,27701.28,212867.02349999998
677,27701.664,111643.47710000002
678,27701.375999999997,167333.6244
679,27698.112,257505.88500000004
680,27709.248,125124.57299999999
681,27709.344,255820.7457
682,27709.44,298309.44
683,27713.952,148211.9058
684,27711.84,123404.2875
685,27715.007999999998,419535.9336
686,27714.048,182768.3728
687,27700.8,113919.54
688,27704.255999999998,169573.1336
689,27701.28,158358.98400000003
690,27701.664,116664.40370000001
691,27702.048,179803.6053
692,27703.68,106947.74799999999
693,27704.928,149981.7821
694,27705.311999999998,227501.01510000002
